epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5722.07,1.08013,0.49071,0.92534,0.88275,0.87541,0.93888,0.61699,1.15752,0.5382,0.98373,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5897.49,1.07495,0.48742,0.92436,0.88668,0.87198,0.94043,0.61881,1.15661,0.53296,0.98263,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6072.55,1.07267,0.48663,0.92335,0.88587,0.87083,0.93863,0.61377,1.16312,0.53777,0.98617,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6247.5,1.06976,0.48499,0.92169,0.8838,0.87157,0.93945,0.61541,1.16095,0.53824,0.98447,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6422.51,1.06649,0.48313,0.92102,0.88838,0.87071,0.94058,0.61647,1.16004,0.53629,0.98313,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6597.62,1.06604,0.48261,0.92154,0.89267,0.86998,0.94144,0.61717,1.16596,0.53249,0.98492,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6772.44,1.05968,0.48012,0.92041,0.8929,0.87425,0.94208,0.61471,1.17016,0.52967,0.98831,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6947.75,1.0582,0.47811,0.91898,0.88879,0.87546,0.94132,0.61304,1.17029,0.52862,0.98964,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7122.49,1.05435,0.47743,0.91942,0.88539,0.87645,0.94085,0.61356,1.17096,0.52593,0.99014,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7297.78,1.05079,0.47522,0.91748,0.88661,0.8733,0.93963,0.61295,1.17319,0.52786,0.99047,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7493.56,1.05117,0.47417,0.91689,0.88704,0.87285,0.93874,0.61031,1.17931,0.53342,0.99319,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7690.54,1.04623,0.47215,0.91562,0.88673,0.87217,0.93877,0.61136,1.17865,0.5353,0.99223,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7872.62,1.04301,0.4711,0.91361,0.88916,0.87218,0.94042,0.61233,1.17941,0.53249,0.99239,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8059.95,1.03914,0.46863,0.91304,0.8899,0.87441,0.941,0.61296,1.17767,0.52956,0.99177,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8238.61,1.0368,0.46772,0.9121,0.88902,0.87534,0.9411,0.61279,1.17873,0.52768,0.99244,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8422.89,1.03314,0.46669,0.91031,0.88812,0.8772,0.94141,0.61244,1.17984,0.52713,0.99264,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8621.38,1.03124,0.46516,0.90918,0.88956,0.87698,0.94218,0.61352,1.17727,0.52387,0.9917,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
